ipx/spx,pim,arp,gre,rtp,rsvp,SrcBytes,udp,esp,Label,DstAddr,Dport,TotPkts,igmp,ipv6-icmp,Dir,icmp,SrcAddr,State,llc,Dur,Sport,tcp,ipnip,unas,rtcp,rarp,TotBytes,udt,ipv6
0,0,0,0,0,0,186,0,0,botnet,4,3,6,0,0,0,0,3,7,0,1.3073,12,1,0,0,0,0,366,0,0
0,0,0,0,0,0,6503,0,0,botnet,14,7,30,0,0,0,0,3,2,0,3.450995,5,1,0,0,0,0,9817,0,0
0,0,0,0,0,0,62,0,0,botnet_spam,9,2,1,0,0,0,0,7,6,0,0.0,29,1,0,0,0,0,62,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,20,2,3,0,0,0,0,3,6,0,9.013157,21,1,0,0,0,0,186,0,0
0,0,0,0,0,0,248,0,0,botnet,17,3,8,0,0,0,0,3,7,0,8.632145,13,1,0,0,0,0,488,0,0
0,0,0,0,0,0,186,0,0,botnet,21,9,3,0,0,0,0,3,6,0,8.590786,15,1,0,0,0,0,186,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,15,2,3,0,0,0,0,3,6,0,9.015393,11,1,0,0,0,0,186,0,0
0,0,0,0,0,0,376,1,0,normal,2,0,4,0,0,1,0,0,0,0,637.722778,4,0,0,0,0,0,500,0,0
0,0,0,0,0,0,81,1,0,normal,1,5,2,0,0,1,0,2,0,0,0.000342,35,0,0,0,0,0,214,0,0
0,0,0,0,0,0,454,1,0,normal,2,0,2,0,0,1,0,19,0,0,0.001978,3,0,0,0,0,0,514,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,22,2,3,0,0,0,0,3,6,0,9.012972,14,1,0,0,0,0,186,0,0
0,0,0,0,0,0,62,0,0,botnet_spam,30,2,1,0,0,0,0,3,6,0,0.0,23,1,0,0,0,0,62,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,13,2,3,0,0,0,0,3,6,0,9.013266,32,1,0,0,0,0,186,0,0
0,0,0,0,0,0,78,1,0,normal,2,0,2,0,0,1,0,15,0,0,0.000657,37,0,0,0,0,0,563,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,30,2,3,0,0,0,0,3,6,0,8.9326,30,1,0,0,0,0,186,0,0
0,0,0,0,0,0,62,0,0,botnet_spam,26,2,1,0,0,0,0,3,6,0,0.0,34,1,0,0,0,0,62,0,0
0,0,0,0,0,0,546,1,0,normal,2,0,4,0,0,1,0,14,0,0,9.974596,20,0,0,0,0,0,1087,0,0
0,0,0,0,0,0,70,1,0,botnet,8,5,2,0,0,1,0,3,0,0,0.000902,18,0,0,0,0,0,185,0,0
0,0,0,0,0,0,969,0,0,normal,5,9,38,0,0,0,0,12,2,0,0.207257,25,1,0,0,0,0,30216,0,0
0,0,0,0,0,0,75,1,0,botnet,16,5,2,0,0,1,0,3,0,0,0.054957,17,0,0,0,0,0,278,0,0
0,0,0,0,0,0,78,1,0,botnet,1,5,2,0,0,1,0,4,0,0,0.164187,7,0,0,0,0,0,265,0,0
0,0,0,0,0,0,186,0,0,botnet,4,3,6,0,0,0,0,3,7,0,1.347077,28,1,0,0,0,0,366,0,0
0,0,0,0,0,0,388,0,0,normal,24,9,6,0,0,0,0,10,6,0,29.998032,43,1,0,0,0,0,388,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,30,2,3,0,0,0,0,3,6,0,8.989316,8,1,0,0,0,0,186,0,0
0,0,0,0,0,0,186,0,0,botnet,31,8,6,0,0,0,0,5,7,0,1.015792,10,1,0,0,0,0,366,0,0
0,0,0,0,0,0,222,1,0,normal,2,0,3,0,0,0,0,17,3,0,6.01464,33,0,0,0,0,0,222,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,25,2,3,0,0,0,0,3,6,0,9.028953,26,1,0,0,0,0,186,0,0
0,0,0,0,0,0,86,1,0,botnet,1,5,2,0,0,1,0,3,0,0,0.009921,0,0,0,0,0,0,324,0,0
0,0,0,0,0,0,272,0,0,normal,12,9,7,0,0,0,0,10,1,0,10.025257,41,1,0,0,0,0,478,0,0
0,0,0,0,0,0,228,1,0,normal,2,0,3,0,0,0,0,20,3,0,6.001343,48,0,0,0,0,0,228,0,0
0,0,0,0,0,0,77,1,0,normal,3,2,2,0,0,1,0,12,0,0,0.000847,21,0,0,0,0,0,137,0,0
0,0,0,0,0,0,198,1,0,normal,3,2,2,0,0,1,0,13,0,0,0.000877,4,0,0,0,0,0,260,0,0
0,0,0,0,0,0,1024,0,0,botnet,13,10,10,0,0,0,0,4,4,0,69.91568000000001,7,1,0,0,0,0,1992,0,0
0,0,0,0,0,0,2216,0,0,botnet_spam,7,8,35,0,0,0,0,3,1,0,37.896378000000006,9,1,0,0,0,0,4177,0,0
0,0,0,0,0,0,594,0,0,botnet,6,9,10,0,0,0,0,3,1,0,0.322544,16,1,0,0,0,0,1512,0,0
0,0,0,0,0,0,74,1,0,normal,3,2,2,0,0,1,0,1,0,0,0.000509,27,0,0,0,0,0,134,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,8,4,3,0,0,0,0,3,6,0,8.945458,12,1,0,0,0,0,186,0,0
0,0,0,0,0,0,3780,0,0,botnet,0,11,151,0,0,0,0,3,1,0,8.329011999999999,8,1,0,0,0,0,137495,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,9,4,3,0,0,0,0,6,6,0,9.012861,15,1,0,0,0,0,186,0,0
0,0,0,0,0,0,444,0,0,botnet,12,0,6,0,0,0,1,3,7,0,1.922486,0,0,0,0,0,0,444,0,0
0,0,0,0,0,0,5932,0,0,botnet,14,5,192,0,0,0,0,3,1,0,11.633962,22,1,0,0,0,0,168323,0,0
0,0,0,0,0,0,1569,0,0,botnet_spam,19,8,29,0,0,0,0,7,1,0,2.617803,18,1,0,0,0,0,2840,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,16,4,3,0,0,0,0,3,6,0,9.01328,10,1,0,0,0,0,186,0,0
0,0,0,0,0,0,1990,0,0,normal,10,5,24,0,0,0,0,8,1,0,240.177155,23,1,0,0,0,0,3296,0,0
0,0,0,0,0,0,482,1,0,normal,5,6,8,0,0,1,0,11,0,0,601.096436,29,0,0,0,0,0,791,0,0
0,0,0,0,0,0,1741,0,0,botnet_spam,19,8,31,0,0,0,0,4,1,0,3.078741,19,1,0,0,0,0,3026,0,0
0,0,0,0,0,0,62,0,0,botnet,1,3,1,0,0,0,0,3,6,0,0.0,17,1,0,0,0,0,62,0,0
0,0,0,0,0,0,87,1,0,normal,2,7,2,0,0,1,0,9,0,0,0.0002319999999999,26,0,0,0,0,0,238,0,0
0,0,0,0,0,0,6592,0,0,botnet,16,8,31,0,0,0,0,3,2,0,6.000319999999999,2,1,0,0,0,0,10836,0,0
0,0,0,0,0,0,767,0,0,botnet,29,10,10,0,0,0,0,3,2,0,0.324835,3,1,0,0,0,0,1310,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,32,3,3,0,0,0,0,6,9,0,9.012626,28,1,0,0,0,0,186,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,27,3,3,0,0,0,0,3,9,0,8.755042999999999,9,1,0,0,0,0,186,0,0
0,0,0,0,0,0,486,0,0,botnet,16,8,15,0,0,0,0,3,2,0,17.643068,7,1,0,0,0,0,912,0,0
0,0,0,0,0,0,186,0,0,botnet,7,10,3,0,0,0,0,3,9,0,9.026872,34,1,0,0,0,0,186,0,0
0,0,0,0,0,0,5738,0,0,botnet_spam,20,7,72,0,0,0,0,3,2,0,20.417439,22,1,0,0,0,0,9064,0,0
0,0,0,0,0,0,81,1,0,normal,3,6,2,0,0,1,0,2,0,0,0.000162,38,0,0,0,0,0,214,0,0
0,0,0,0,0,0,77,1,0,normal,3,6,2,0,0,1,0,10,0,0,0.018997,43,0,0,0,0,0,213,0,0
0,0,0,0,0,0,152,1,0,normal,4,2,4,0,0,1,0,17,0,0,2410.340576,1,0,0,0,0,0,272,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,14,3,3,0,0,0,0,3,9,0,9.013263,13,1,0,0,0,0,186,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,18,3,3,0,0,0,0,3,9,0,9.012276,17,1,0,0,0,0,186,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,11,3,3,0,0,0,0,3,9,0,8.912572,36,1,0,0,0,0,186,0,0
0,0,0,0,0,0,81,1,0,normal,3,6,2,0,0,1,0,2,0,0,0.000144,39,0,0,0,0,0,214,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,15,3,3,0,0,0,0,3,9,0,9.028964,26,1,0,0,0,0,186,0,0
0,0,0,0,0,0,302,0,0,botnet_spam,31,7,9,0,0,0,0,7,3,0,0.264156,33,1,0,0,0,0,576,0,0
0,0,0,0,0,0,79,1,0,normal,3,6,2,0,0,1,0,12,0,0,0.000301,41,0,0,0,0,0,208,0,0
0,0,0,0,0,0,242,0,0,botnet,17,5,7,0,0,0,0,3,1,0,0.158109,16,1,0,0,0,0,424,0,0
0,0,0,0,0,0,90,1,0,normal,0,1,2,0,0,1,0,14,0,0,0.125136,18,0,0,0,0,0,180,0,0
0,0,0,0,0,0,889,0,0,botnet,9,10,8,0,0,0,0,3,8,0,11.6338,25,1,0,0,0,0,1911,0,0
0,0,0,0,0,0,5834,0,0,botnet,22,4,189,0,0,0,0,7,2,0,1.7905810000000002,23,1,0,0,0,0,168402,0,0
0,0,0,0,0,0,1046,0,0,botnet,28,10,37,0,0,0,0,3,2,0,0.216401,0,1,0,0,0,0,27990,0,0
0,0,0,0,0,0,81,1,0,normal,3,6,2,0,0,1,0,2,0,0,0.00015,42,0,0,0,0,0,214,0,0
0,0,0,0,0,0,6323,0,0,botnet_spam,13,7,70,0,0,0,0,3,2,0,24.760372,11,1,0,0,0,0,9565,0,0
0,0,0,0,0,0,1478,0,0,botnet,8,10,23,0,0,0,0,4,8,0,79.20710799999999,24,1,0,0,0,0,11453,0,0
0,0,0,0,0,0,81,1,0,normal,3,6,2,0,0,1,0,2,0,0,0.000143,45,0,0,0,0,0,214,0,0
0,0,0,0,0,0,186,0,0,botnet_spam,1,3,3,0,0,0,0,3,9,0,8.916625999999999,32,1,0,0,0,0,186,0,0
0,0,0,0,0,0,2590,0,0,botnet,26,4,81,0,0,0,0,3,4,0,71.379028,4,1,0,0,0,0,64726,0,0
0,0,0,0,0,0,144,1,0,normal,5,0,4,0,0,1,0,16,0,0,2311.676025,20,0,0,0,0,0,267,0,0
0,0,0,0,0,0,81,1,0,normal,3,6,2,0,0,1,0,2,0,0,0.000291,44,0,0,0,0,0,214,0,0
